session_id,participant_id,sleep_duration,screen_time,screen_time_source,social_media_time,notification_count,study_time,median_rt,sd_rt,n_valid_trials,cv_rt,ies_switch,ies_repeat,switch_cost_ies,omission_errors,commission_errors,sustained_attention_score
ff788f7a-6ec0-4346-99cc-f365db54de18,P001,6.16,295.2,self_report,37.9,63,75.8,340.2,41.81523265477294,49,0.12291367623390048,423.26250000000005,391.13750000000005,32.125,1,1,0.35745834270896104
697df889-1dce-4c5c-989e-4fbba9d72aca,P001,6.47,452.4,self_report,75.3,68,167.8,369.7,55.3275360918955,49,0.14965522340247633,526.2938775510204,430.82666666666665,95.46721088435373,3,1,-0.38873230097768546
6da3a9b5-9f16-40d3-9e38-f35c9064cfc1,P001,8.48,151.9,self_report,133.4,69,77.1,328.7,67.75836502936268,47,0.20614044730563638,533.7751479289941,421.8737777777777,111.90137015121638,5,0,-0.6702534550042335
5c7e0247-459b-4a8d-8257-87ef47714e61,P001,7.63,263.9,self_report,101.1,63,125.0,354.6,62.98328598232481,45,0.1776178397696695,466.78044444444447,411.71875,55.06169444444447,1,0,0.8221278323690597
cd82d6b4-ceed-4b2c-9e75-0b1bca81ee43,P001,8.31,106.7,self_report,108.5,21,100.3,327.9,52.796948409279295,47,0.1610153961856642,514.0544378698224,376.85,137.2044378698224,1,3,-0.5718806366112361
1b869fce-8bcc-40dd-84b1-93dc8a9a7107,P001,8.4,173.9,self_report,112.6,46,39.5,337.8,70.18623508081633,47,0.207774526586194,514.5877551020408,414.53125,100.05650510204077,4,3,-1.691166602141206
67dc648e-8438-4919-a1d2-16962a930267,P001,6.06,218.9,self_report,82.4,55,184.3,325.3,59.58174692241351,49,0.1831593818703151,460.76444444444434,385.99111111111114,74.7733333333332,2,0,0.44903251052573645
2220abd4-5570-451a-b1dc-eeb5be2ccf9a,P001,7.42,108.2,self_report,166.9,88,94.4,313.8,55.92731563693847,49,0.17822598992013533,402.73125000000005,398.21511111111107,4.516138888888975,3,0,0.07593718868241317
38a87246-1163-4bd0-9051-50fb2850ad1b,P001,7.66,201.1,self_report,94.2,102,29.7,332.3,56.74158375080386,47,0.17075408892808866,482.80177777777783,433.73511111111117,49.06666666666666,2,1,-0.015636979134362197
62ce89ac-5fc9-4ba3-8eb5-1a44aba364ca,P001,7.24,227.4,self_report,93.4,40,40.5,339.8,61.488106601206724,49,0.18095381577753597,492.62040816326527,370.30625000000003,122.31415816326523,1,2,-0.10721114695113756
ba6b4c41-925e-43c9-b1a0-f483803bd415,P002,8.35,273.0,self_report,71.6,49,104.7,376.7,56.27337367737971,49,0.14938511727470058,482.61688888888887,462.9551020408163,19.661786848072552,1,0,0.8221278323690597
5cf58e2a-8c1f-4ea4-8503-a873f592a566,P002,8.41,128.8,self_report,92.7,62,97.3,348.20000000000005,62.14775119602803,48,0.17848291555435963,460.60625000000005,444.2875,16.318750000000023,2,2,-0.4803064687944608
cbba5d65-60e8-4e42-95c0-543bc0b36527,P002,9.97,234.7,self_report,39.2,59,103.7,353.4,59.37043050801876,49,0.16799782260333548,521.5918367346939,460.4444444444444,61.147392290249456,2,4,-1.409645448114658
a9ce0a01-c6c3-4000-9da5-f780a3dff5a5,P002,8.62,258.4,self_report,130.8,46,91.9,376.5,54.88259745626204,48,0.14577051117201073,504.68266666666676,391.3,113.38266666666675,1,2,-0.10721114695113756
